step,ARH_Accuracy,Baseline_Accuracy,ARH_Dissonance,ARH_Nodes
158,73.0,44.5,0.0,5
159,73.0,45.0,0.0,5
160,73.5,45.0,0.0,5
161,74.0,45.5,0.0,5
162,74.5,45.5,0.0,5
163,75.0,46.0,0.0,5
164,75.0,46.0,0.0,5
165,75.5,46.5,0.0,5
166,76.0,47.0,0.0,5
167,76.5,46.5,0.0,5
168,77.0,46.5,0.0,5
169,77.5,46.5,0.0,5
170,78.0,46.5,0.0,5
171,78.5,47.0,0.0,5
172,79.0,47.0,0.0,5
173,79.5,46.5,0.0,5
174,80.0,46.5,0.0,5
175,80.5,47.0,0.0,5
176,81.0,47.5,0.0,5
177,81.5,47.5,0.0,5
178,81.5,47.5,0.0,5
179,82.0,47.5,0.0,5
180,82.5,47.5,0.0,5
181,83.0,47.5,0.0,5
182,83.5,47.5,0.0,5
183,84.0,48.0,0.0,5
184,84.5,48.5,0.0,5
185,84.5,49.0,0.0,5
186,85.0,49.5,0.0,5
187,85.5,50.0,0.0,5
188,86.0,50.5,0.0,5
189,86.5,50.5,0.0,5
190,87.0,50.5,0.0,5
191,87.5,51.0,0.0,5
192,87.5,51.0,0.0,5
193,88.0,51.0,0.0,5
194,88.0,51.0,0.0,5
195,88.5,51.0,0.0,5
196,89.0,51.0,0.0,5
197,89.5,51.5,0.0,5
198,90.0,51.5,0.0,5
199,90.0,51.5,0.0,5
200,90.5,52.0,0.0,5
201,91.0,52.0,0.0,5
202,91.5,52.5,0.0,5
203,91.5,53.0,0.0,5
204,92.0,53.0,0.0,5
205,92.5,53.5,0.0,5
206,93.0,53.0,0.0,5
207,93.5,53.0,0.0,5
208,94.0,52.5,0.0,5
209,94.0,53.0,0.0,5
210,94.5,53.0,0.0,5
211,94.5,53.0,0.0,5
212,94.5,53.0,0.0,5
213,94.5,53.0,0.0,5
214,95.0,53.5,0.0,5
215,95.5,53.5,0.0,5
216,96.0,54.0,0.0,5
217,96.5,54.0,0.0,5
218,96.5,54.0,0.0,5
219,97.0,53.5,0.0,5
220,97.5,53.5,0.0,5
221,98.0,53.5,0.0,5
222,98.5,53.5,0.0,5
223,99.0,53.5,0.0,5
224,99.5,53.0,0.0,5
225,99.5,53.0,0.0,5
226,99.5,53.0,0.0,5
227,99.5,53.0,0.0,5
228,99.5,53.5,0.0,5
229,99.5,53.0,0.0,5
230,99.5,53.0,0.0,5
231,99.5,52.5,0.0,5
232,99.5,53.0,0.0,5
233,99.5,52.5,0.0,5
234,99.5,52.5,0.0,5
235,99.5,53.0,0.0,5
236,99.5,53.0,0.0,5
