time mean_S std_S upper_S lower_S
0.00 0.00 0.00 0.00 0.00
1.00 0.88 0.19 1.07 0.69
2.00 1.73 0.23 1.96 1.50
3.00 2.55 0.28 2.83 2.27
4.00 3.09 0.31 3.40 2.78
5.00 2.65 0.30 2.95 2.35
6.00 1.78 0.26 2.04 1.52
7.00 0.93 0.17 1.10 0.76
8.00 0.02 0.02 0.04 0.00
