# du g2
-64 0.0014509007676728608
-63 -0.006980743646007811
-62 -0.00968103333072423
-61 0.0029979378118424483
-60 0.0137192010792031
-59 0.0011029005885139032
-58 -0.0002956042339489778
-57 0.006169796233613432
-56 -0.013595392312186514
-55 -0.0020894755328872317
-54 0.006038322776512789
-53 0.009982838087693305
-52 -0.0010244883193587847
-51 0.005307594511830755
-50 0.004219543215889084
-49 0.009802716437042775
-48 -0.008854005229282213
-47 0.008326204290120452
-46 -0.01206077645607218
-45 -0.022592891085917853
-44 -0.0018558476606011717
-43 -0.00425498315606007
-42 0.014432173986272234
-41 0.013154395229137396
-40 -0.004779005713962939
-39 0.01683484906313285
-38 -0.0006703961946587286
-37 0.009517460956859913
-36 0.008513285630156464
-35 0.01373234081635114
-34 0.022009807954750382
-33 0.021597566120969157
-32 0.02033272359450306
-31 0.025279964023833083
-30 0.025950891646909384
-29 0.017844762917022146
-28 0.020580652847502195
-27 0.027507145041000346
-26 0.04256928292165305
-25 0.041435777915158976
-24 0.07468311561703221
-23 0.05153927156272089
-22 0.05811098782201145
-21 0.08701392248631308
-20 0.10451199829972335
-19 0.10691761972556492
-18 0.12228437440623838
-17 0.14071651177703032
-16 0.1385770987190808
-15 0.13912537750992537
-14 0.16308326779304969
-13 0.1948664549051837
-12 0.19064176693340643
-11 0.22912843449451537
-10 0.2603866907675917
-9 0.2906202612503855
-8 0.345353689058955
-7 0.39816728235669413
-6 0.4809837086771277
-5 0.5414611062009255
-4 0.6191794532758923
-3 0.7220691530834584
-2 0.8334912789341513
-1 0.975950081164519
0 1.0943316716518632
1 0.9657247378293549
2 0.8493001161394681
3 0.7204524991002847
4 0.6223369082261457
5 0.516848565867155
6 0.44694483731773327
7 0.38668212081951
8 0.3422749790804408
9 0.30571111562295517
10 0.257669649042534
11 0.23140676407864078
12 0.20675824467966164
13 0.19618490846655398
14 0.1773375852636189
15 0.15609189999539055
16 0.1294079304447907
17 0.13548691514605465
18 0.11773667222611917
19 0.11413010831431453
20 0.08999443255947656
21 0.09886019657645458
22 0.0655109704178148
23 0.07566280112721625
24 0.05247676311829907
25 0.03877424353267779
26 0.026291540188961283
27 0.030696522266972115
28 0.04198757404733981
29 0.03227836253536543
30 0.02805480991306823
31 -0.0049782426851418815
32 0.02394351462151136
33 0.02077195232224314
34 0.008324181995259443
35 0.006314298579937967
36 0.011429178891585975
37 0.027628662051710072
38 -0.0011993749464584754
39 0.004083184482289996
40 0.021029589202499855
41 0.0020502282387309407
42 0.002029536797098769
43 0.005880880780286646
44 -0.008199834144963102
45 0.005806017437770792
46 -0.00901174850855713
47 0.01149568051784804
48 0.0023100251407794092
49 0.024813763018483856
50 0.004545813857915286
51 0.01519849082927914
52 -0.01165083130998107
53 2.7400798680183094e-05
54 0.004366153990718572
55 0.018490506822268854
56 -0.015869098712309373
57 0.010758230827692965
58 0.0066811688419180296
59 0.016021793906861367
60 0.007732247987949821
61 0.0010552277107699114
62 -0.004750906160028651
63 -0.012079324800986807
64 0.0023000566422642457
