scenario c_scale scramble eps resid_final_S rmse_page turnover_step max_g2_amp
P0-minus 0.75 1.00 0.08 0.00 1.79 4 0.080
P0-nominal 1.00 1.00 0.08 0.07 0.02 6 0.079
P0-plus 1.25 1.00 0.08 2.99 1.94 8 0.081
weak-scramble 1.00 0.60 0.08 0.05 0.02 6 0.081
strong-eps 1.00 1.00 0.20 0.05 0.02 6 0.201
gentle-eps 1.00 1.00 0.04 0.07 0.02 6 0.038
