Policy,Final Cumulative Reward,Final Cumulative Regret,Final #Prototypes (GRBFN),Growth Budget Remaining
LinUCB(alpha=0.8),6256.0,222.64923868847671,,
GRBFN+Budget,6202.0,247.23423730456898,25.0,0.0
