m,S_rad
1,0.6898853858168497
2,1.3516362983956953
3,1.9635040626017302
4,2.3141677994589256
5,1.9654714952488206
6,1.3643603692975703
7,0.6921359533413616
8,-2.220446049250313e-16
max,2.3141677994589256
