device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms,tflops,bytes_gb,arithmetic_intensity
npu:0,dense,1,2048,8192,0,float16,5,0.02993151545524597,0.0028188098329289387,0.02767890691757202,0.034434348344802856,0.0024707957576129815,1.1210401975860884,0.033574912,0.9993900207392948
npu:0,dense,1,4096,16384,0,float16,5,0.07652584463357925,0.008267769192284705,0.06929561495780945,0.08876770734786987,0.007247019223001035,1.7538875740955333,0.134258688,0.9996949173225944
npu:0,dense,8,2048,8192,0,float16,5,0.0308961421251297,0.0058501155907922,0.026455707848072052,0.04097986966371536,0.0051278524057991395,8.688316324828955,0.033718272,7.961127308066083
npu:0,dense,8,4096,16384,0,float16,5,0.08193835616111755,0.009042963712229242,0.06854869425296783,0.09120777249336243,0.007926507178814504,13.104263672176593,0.134545408,7.980516317584024
npu:0,dense,32,2048,8192,0,float16,5,0.028677470982074738,0.0020857199922932426,0.02586767077445984,0.03156736493110657,0.0018282141804408269,37.44199844788117,0.034209792,31.386973180076627
npu:0,dense,32,4096,16384,0,float16,5,0.08134335279464722,0.01352105406749001,0.07027052342891693,0.1040114089846611,0.011851726440764215,52.800470455683374,0.135528448,31.690522243713733
npu:0,ephemeral,1,2048,8192,8,float16,5,0.07447276264429092,0.0007744380442814564,0.07364507764577866,0.07568113505840302,0.0006788248756591288,0.002199998955088582,0.000184336,0.8888117350924399
npu:0,ephemeral,1,2048,8192,16,float16,5,0.03322433680295944,0.0011326773975806048,0.031733885407447815,0.034858472645282745,0.000992835513766573,0.009862649838380283,0.000348192,0.9410899733480379
npu:0,ephemeral,1,2048,8192,24,float16,5,0.06436668336391449,0.005468508780722105,0.05883108824491501,0.07344018667936325,0.004793359288745655,0.007636248666426674,0.000512048,0.959910008436709
npu:0,ephemeral,1,2048,8192,32,float16,5,0.03337059170007706,0.0024706485140211384,0.031339190900325775,0.03763381391763687,0.002165618906137162,0.019638848657229136,0.000675904,0.9696051510273649
npu:0,ephemeral,1,2048,8192,48,float16,5,0.03390129655599594,0.0012863904610271037,0.03230273723602295,0.03543142229318619,0.001127570954453848,0.028997121050408175,0.001003616,0.9794981347447629
npu:0,ephemeral,1,2048,8192,64,float16,5,0.03259439021348953,0.0018535069402169267,0.030902028083801273,0.03572441637516022,0.001624670465916333,0.04021305480528808,0.001331328,0.9845207191616191
npu:0,ephemeral,1,2048,8192,96,float16,5,0.03370821475982666,0.0013322831675490689,0.03264620900154114,0.035914964973926544,0.0011677976853440362,0.05832643508439871,0.001986752,0.9895950777953162
npu:0,ephemeral,1,2048,8192,128,float16,5,0.033133365213871,0.0018092713918698448,0.030812807381153107,0.03491230309009552,0.0015858962982109202,0.07911783131833999,0.002642176,0.9921519232632496
npu:0,ephemeral,1,2048,8192,192,float16,5,0.03375329077243805,0.001553940211108722,0.031836703419685364,0.036161020398139954,0.0013620886504437147,0.11649708546968958,0.003953024,0.9947220153482499
npu:0,ephemeral,1,2048,8192,256,float16,5,0.03366153687238693,0.0017300002027676458,0.0319458544254303,0.03635231405496597,0.0015164120373549353,0.15575284099107234,0.005263872,0.9960120610835522
npu:0,ephemeral,1,4096,16384,8,float16,5,0.10621652007102966,0.0019468820753357418,0.10373890399932861,0.10869763791561127,0.0017065173805336214,0.003085019164447039,0.000368656,0.8888503103163925
npu:0,ephemeral,1,4096,16384,16,float16,5,0.03237485885620117,0.0010651283106771696,0.030811317265033722,0.033552199602127075,0.0009336261285139971,0.020242868174681496,0.000696352,0.9411332199806994
npu:0,ephemeral,1,4096,16384,24,float16,5,0.0656769797205925,0.0028893289672766065,0.06306003779172897,0.06924308836460114,0.0025326085042343847,0.014967801567339366,0.001024048,0.9599550021092761
npu:0,ephemeral,1,4096,16384,32,float16,5,0.032839588820934296,0.0021547597168511657,0.030891783535480503,0.036011822521686554,0.001888730167206503,0.03991280180598527,0.001351744,0.9696510581885327
npu:0,ephemeral,1,4096,16384,48,float16,5,0.032766200602054596,0.0013377263777061025,0.03105476498603821,0.03480780869722366,0.0011725688694113985,0.06000329497698056,0.002007136,0.979544983498876
npu:0,ephemeral,1,4096,16384,64,float16,5,0.032989755272865295,0.0022672469236186643,0.030016154050827026,0.036340393126010895,0.001987329551251534,0.07946224451553252,0.002662528,0.9845680496129994
npu:0,ephemeral,1,4096,16384,96,float16,5,0.035126060247421265,0.0033064323132656684,0.03162771463394165,0.04016943275928497,0.002898215706861854,0.11194423662382331,0.003973312,0.9896428974115298
npu:0,ephemeral,1,4096,16384,128,float16,5,0.03348689526319504,0.0029924633497801045,0.030780769884586334,0.03676377236843109,0.002623009776351737,0.15656512670980205,0.005284096,0.992199990310547
npu:0,ephemeral,1,4096,16384,192,float16,5,0.03361787647008896,0.0023710969903347557,0.030952878296375275,0.03747772425413132,0.0020783581482404006,0.23393268182769278,0.007905664,0.9947703317520198
npu:0,ephemeral,1,4096,16384,256,float16,5,0.034653209149837494,0.0038795213255096946,0.03154147416353226,0.041271746158599854,0.0034005503743679078,0.3025913113749574,0.010527232,0.9960605028938281
npu:0,ephemeral,8,2048,8192,8,float16,5,0.07640734314918518,0.005272274565462977,0.06983857601881027,0.08306987583637238,0.004621352415172006,0.017154372158194563,0.000327808,3.998438110113237
npu:0,ephemeral,8,2048,8192,16,float16,5,0.03352660685777664,0.0011438123849419532,0.032535381615161896,0.034837424755096436,0.0010025957605246548,0.07818983922591456,0.000491776,5.3305570015616865
npu:0,ephemeral,8,2048,8192,24,float16,5,0.06063006818294525,0.0017054803924961507,0.05888119339942932,0.06252285093069077,0.0014949194760304507,0.06485494933198978,0.000655744,5.996486433730237
npu:0,ephemeral,8,2048,8192,32,float16,5,0.032330527901649475,0.0005936584445566304,0.0314958393573761,0.0330144539475441,0.0005203645698786028,0.16216499823167174,0.000819712,6.396002498438476
npu:0,ephemeral,8,2048,8192,48,float16,5,0.033027343451976776,0.0016121020919514625,0.030478835105895996,0.0344669446349144,0.00141306978679505,0.23811542734083566,0.001147648,6.8525540932411335
npu:0,ephemeral,8,2048,8192,64,float16,5,0.03236193209886551,0.0007355973684054894,0.03143884241580963,0.0334080308675766,0.0006447795221712551,0.3240152648477868,0.001475584,7.10617626648161
npu:0,ephemeral,8,2048,8192,96,float16,5,0.03253962844610214,0.0012439708950877533,0.0313345342874527,0.03436915576457977,0.0010903885655114103,0.48336876452208233,0.002131456,7.379293778525102
npu:0,ephemeral,8,2048,8192,128,float16,5,0.03318611532449722,0.0019139423797824558,0.03126747906208038,0.03637727349996567,0.0016776444643548257,0.6319365733210512,0.002787328,7.523879500367377
npu:0,ephemeral,8,2048,8192,192,float16,5,0.03376457840204239,0.00171340653971252,0.032170675694942474,0.036557018756866455,0.0015018670503888357,0.9316651203350188,0.004099072,7.674244316762429
npu:0,ephemeral,8,2048,8192,256,float16,5,0.033634379506111145,0.0016980584601533797,0.031573884189128876,0.035462528467178345,0.0014884138654952573,1.2470288025494636,0.005410816,7.751703255109765
npu:0,ephemeral,8,4096,16384,8,float16,5,0.10779883712530136,0.004406286976183096,0.10394304990768433,0.11539999395608902,0.0038622808251900205,0.024317887557107284,0.000655488,3.999218902558094
npu:0,ephemeral,8,4096,16384,16,float16,5,0.03224056214094162,0.0017482569987964797,0.02957060933113098,0.03381781280040741,0.001532414824647889,0.16261751197390498,0.000983296,5.331944806040093
npu:0,ephemeral,8,4096,16384,24,float16,5,0.06788104772567749,0.0064871053750316645,0.06193127483129501,0.07885843515396118,0.005686198569543826,0.11585442864378696,0.001311104,5.998242702333301
npu:0,ephemeral,8,4096,16384,32,float16,5,0.03193605691194534,0.001262524299651597,0.030076876282691956,0.03320090472698212,0.0011066513416483838,0.32833608823129046,0.001638912,6.398000624804749
npu:0,ephemeral,8,4096,16384,48,float16,5,0.03303777426481247,0.0013177558171015356,0.031300075352191925,0.03424603492021561,0.0011550639012356469,0.4760804972492379,0.002294528,6.8548477072408796
npu:0,ephemeral,8,4096,16384,64,float16,5,0.0327591598033905,0.0017099451525354186,0.03126729279756546,0.035712867975234985,0.0014988330107552534,0.6401727066830784,0.002950144,7.1086428323498785
npu:0,ephemeral,8,4096,16384,96,float16,5,0.033535659313201904,0.001659581970421146,0.03165174275636673,0.03597550094127655,0.0014546877352371332,0.9380247964177131,0.004261376,7.38195362249189
npu:0,ephemeral,8,4096,16384,128,float16,5,0.03358297049999237,0.001074656701597754,0.0319918617606163,0.035000406205654144,0.0009419781314013276,1.248937761476744,0.005572608,7.526644615950018
npu:0,ephemeral,8,4096,16384,192,float16,5,0.0365515798330307,0.005502154772617943,0.03190767019987106,0.0445755198597908,0.004822851300965058,1.7212541916764366,0.008195072,7.677121079595151
npu:0,ephemeral,8,4096,16384,256,float16,5,0.03218661993741989,0.0016068450670843947,0.030090846121311188,0.03418289124965668,0.001408461801329879,2.6062407349109296,0.010817536,7.75463839454752
npu:0,ephemeral,32,2048,8192,8,float16,5,0.0721248984336853,0.0033626451805235783,0.0689363107085228,0.07591284811496735,0.002947488457482207,0.07269167948736213,0.000819712,6.396002498438476
npu:0,ephemeral,32,2048,8192,16,float16,5,0.03177385777235031,0.0012596556279819131,0.03031548112630844,0.03322083503007889,0.0011041368400638357,0.33001217778235087,0.000984064,10.655567117585848
npu:0,ephemeral,32,2048,8192,24,float16,5,0.06797347217798233,0.0042390972019422735,0.06375294178724289,0.07387660443782806,0.003715732526654654,0.23139379961076573,0.001148416,13.69594293357111
npu:0,ephemeral,32,2048,8192,32,float16,5,0.035391077399253845,0.006569612730567363,0.03140196204185486,0.04695449024438858,0.00575851945534748,0.5925651757762578,0.001312768,15.975039001560063
npu:0,ephemeral,32,2048,8192,48,float16,5,0.032061077654361725,0.0011440190506181317,0.030567310750484467,0.03373138606548309,0.0010027769109768707,0.9811672688962287,0.001641472,19.16406737367436
npu:0,ephemeral,32,2048,8192,64,float16,5,0.03272294998168945,0.0014826183459563133,0.03022272139787674,0.033981166779994965,0.0012995722792486736,1.2817621890284883,0.001970176,21.28898128898129
npu:0,ephemeral,32,2048,8192,96,float16,5,0.03203388303518295,0.0007613065109436631,0.030988268554210663,0.03285389393568039,0.0006673145791918216,1.9640004282621828,0.002627584,23.943881527669525
