batch_tokens,hidden_dim,expansion_dim,dense_mean_ms,dense_std_ms,best_ephemeral_mean_ms,best_ephemeral_std_ms,best_rank,speedup_dense_over_ephemeral
1,1024,4096,0.0220188871026039,0.0028786411277477,0.0328418239951133,0.0010823813284507,128,0.6704526248566522
1,2048,8192,0.0286052376031875,0.0028488734406913,0.0333501398563385,0.0014645454650252,32,0.8577246670151762
1,4096,16384,0.0838091969490051,0.0106623426338823,0.0327297672629356,0.0012930116410571,32,2.5606413964303907
8,1024,4096,0.0199401751160621,0.0012279694292844,0.0327548757195472,0.0013765614597208,64,0.6087696771251174
8,2048,8192,0.0330544635653495,0.0065993420199232,0.0328938663005828,0.000664466416912,128,1.004882286055983
8,4096,16384,0.0762713700532913,0.0045549745415174,0.0337397307157516,0.0011100063849259,64,2.260580284290282
32,1024,4096,0.0205444544553756,0.0019068482150232,0.0324629247188568,0.001369221834027,64,0.6328590117279822
32,2048,8192,0.0276931375265121,0.0007071041437308,0.0322051346302032,0.001148844882263,32,0.8598982070561016
32,4096,16384,0.0770376995205879,0.0059247240089363,0.03279909491539,0.0016608402268914,16,2.3487751634402643
