device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,avg_ms,tflops,bytes_gb,arithmetic_intensity
npu:0,dense,1,1024,4096,0,float16,0.02746041864156723,0.30547997499579427,0.008398848,0.9987807851743478
npu:0,ephemeral,1,1024,4096,16,float16,0.03406275063753128,0.004809946258992853,0.000174112,0.9410034920051461
npu:0,ephemeral,1,1024,4096,32,float16,0.035024434328079224,0.009355754240898552,0.000337984,0.9695133497443666
npu:0,ephemeral,1,1024,4096,64,float16,0.0427810475230217,0.015318932984222326,0.000665728,0.9844260719092482
npu:0,ephemeral,1,1024,4096,128,float16,0.0362638384103775,0.036143995160339,0.001321216,0.9920558031389266
npu:0,dense,8,1024,4096,0,float16,0.021845288574695587,3.072006294196329,0.008470528,7.922630560928433
npu:0,ephemeral,8,1024,4096,16,float16,0.037062354385852814,0.03536526542146278,0.000246016,5.327783558792924
npu:0,ephemeral,8,1024,4096,32,float16,0.0351928174495697,0.07448792651388166,0.000410112,6.392009987515605
npu:0,ephemeral,8,1024,4096,64,float16,0.039859116077423096,0.13153528015563948,0.000738304,7.10124826629681
npu:0,ephemeral,8,1024,4096,128,float16,0.035922229290008545,0.29190170563597295,0.001394688,7.518355359765051
npu:0,dense,32,1024,4096,0,float16,0.02208314836025238,12.155669636452696,0.008716288,30.796992481203006
npu:0,ephemeral,32,1024,4096,16,float16,0.05271639674901962,0.09945444535902394,0.000492544,10.644490644490645
npu:0,ephemeral,32,1024,4096,32,float16,0.037306733429431915,0.28106883224805757,0.000657408,15.950155763239875
npu:0,ephemeral,32,1024,4096,64,float16,0.03236420452594757,0.6479850287432944,0.000987136,21.244813278008298
npu:0,ephemeral,32,1024,4096,128,float16,0.03712549805641174,1.129763698692151,0.001646592,25.4726368159204
npu:0,dense,1,2048,8192,0,float16,0.027818791568279266,1.2061786335198281,0.033574912,0.9993900207392948
npu:0,ephemeral,1,2048,8192,16,float16,0.03666281700134277,0.008937665646041294,0.000348192,0.9410899733480379
npu:0,ephemeral,1,2048,8192,32,float16,0.036641210317611694,0.01788587206370199,0.000675904,0.9696051510273649
npu:0,ephemeral,1,2048,8192,64,float16,0.03695972263813019,0.03546346959454104,0.001331328,0.9845207191616191
npu:0,ephemeral,1,2048,8192,128,float16,0.0365138053894043,0.07179311967195559,0.002642176,0.9921519232632496
npu:0,dense,8,2048,8192,0,float16,0.026449747383594513,10.14888543572622,0.033718272,7.961127308066083
npu:0,ephemeral,8,2048,8192,16,float16,0.037275440990924835,0.07032619682858272,0.000491776,5.3305570015616865
npu:0,ephemeral,8,2048,8192,32,float16,0.04092175513505936,0.1281196269000742,0.000819712,6.396002498438476
npu:0,ephemeral,8,2048,8192,64,float16,0.038008950650691986,0.27587607183280916,0.001475584,7.10617626648161
npu:0,ephemeral,8,2048,8192,128,float16,0.036878325045108795,0.5686679092488087,0.002787328,7.523879500367377
npu:0,dense,32,2048,8192,0,float16,0.03128312528133392,34.3233553023771,0.034209792,31.386973180076627
npu:0,ephemeral,32,2048,8192,16,float16,0.03656446933746338,0.2867745707786453,0.000984064,10.655567117585848
npu:0,ephemeral,32,2048,8192,32,float16,0.045011378824710846,0.46591596497565685,0.001312768,15.975039001560063
npu:0,ephemeral,32,2048,8192,64,float16,0.03723073750734329,1.1265702161212163,0.001970176,21.28898128898129
npu:0,ephemeral,32,2048,8192,128,float16,0.04280265420675278,1.9598336027200312,0.003284992,25.536159600997507
npu:0,dense,1,4096,16384,0,float16,0.07238779217004776,1.854148662038292,0.134258688,0.9996949173225944
npu:0,ephemeral,1,4096,16384,16,float16,0.03688931465148926,0.017765578086540636,0.000696352,0.9411332199806994
npu:0,ephemeral,1,4096,16384,32,float16,0.03765597939491272,0.034807752209920655,0.001351744,0.9696510581885327
npu:0,ephemeral,1,4096,16384,64,float16,0.03721937537193298,0.07043213309745171,0.002662528,0.9845680496129994
npu:0,ephemeral,1,4096,16384,128,float16,0.0363081693649292,0.14439945862608555,0.005284096,0.992199990310547
npu:0,dense,8,4096,16384,0,float16,0.07195025682449341,14.9233911231082,0.134545408,7.980516317584024
npu:0,ephemeral,8,4096,16384,16,float16,0.036434270441532135,0.1438996839092334,0.000983296,5.331944806040093
npu:0,ephemeral,8,4096,16384,32,float16,0.03740880638360977,0.2803019132038977,0.001638912,6.398000624804749
npu:0,ephemeral,8,4096,16384,64,float16,0.03729425370693207,0.5623257718145978,0.002950144,7.1086428323498785
npu:0,ephemeral,8,4096,16384,128,float16,0.04073139280080795,1.02974725674414,0.005572608,7.526644615950018
npu:0,dense,32,4096,16384,0,float16,0.10189935564994812,42.14911143063922,0.135528448,31.690522243713733
npu:0,ephemeral,32,4096,16384,16,float16,0.0370444729924202,0.5661173801633258,0.001967104,10.661114003123373
npu:0,ephemeral,32,4096,16384,32,float16,0.037238746881484985,1.1263279114489746,0.002623488,15.987509758001561
npu:0,ephemeral,32,4096,16384,64,float16,0.03684386610984802,2.2767990674458027,0.003936256,21.311134235171696
npu:0,ephemeral,32,4096,16384,128,float16,0.040068477392196655,4.187135896326165,0.006561792,25.56803995006242
