device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,avg_ms,tflops,bytes_gb,arithmetic_intensity
npu:0,dense,1,1024,4096,0,float16,0.023369677364826202,0.35895266627111116,0.008398848,0.9987807851743478
npu:0,ephemeral,1,1024,4096,16,float16,0.03384482115507126,0.00484091788369372,0.000174112,0.9410034920051461
npu:0,ephemeral,1,1024,4096,32,float16,0.034019723534584045,0.009632059463001937,0.000337984,0.9695133497443666
npu:0,ephemeral,1,1024,4096,64,float16,0.03539230674505234,0.01851701853515428,0.000665728,0.9844260719092482
npu:0,ephemeral,1,1024,4096,128,float16,0.036964379251003265,0.035459002059785034,0.001321216,0.9920558031389266
npu:0,dense,8,1024,4096,0,float16,0.021095573902130127,3.1811821906975317,0.008470528,7.922630560928433
npu:0,ephemeral,8,1024,4096,16,float16,0.03662239760160446,0.03579011986759098,0.000246016,5.327783558792924
npu:0,ephemeral,8,1024,4096,32,float16,0.03648940473794937,0.0718411280980332,0.000410112,6.392009987515605
npu:0,ephemeral,8,1024,4096,64,float16,0.03588180989027023,0.14611526051871945,0.000738304,7.10124826629681
npu:0,ephemeral,8,1024,4096,128,float16,0.03980640321969986,0.26341892640053155,0.001394688,7.518355359765051
npu:0,dense,32,1024,4096,0,float16,0.01872032880783081,14.339248992662569,0.008716288,30.796992481203006
npu:0,ephemeral,32,1024,4096,16,float16,0.03515537828207016,0.1491345067583573,0.000492544,10.644490644490645
npu:0,ephemeral,32,1024,4096,32,float16,0.034928321838378906,0.30020795297638225,0.000657408,15.950155763239875
npu:0,ephemeral,32,1024,4096,64,float16,0.03328192979097366,0.6301173078517716,0.000987136,21.244813278008298
npu:0,ephemeral,32,1024,4096,128,float16,0.03430880606174469,1.222515290229458,0.001646592,25.4726368159204
npu:0,dense,1,2048,8192,0,float16,0.029725581407546997,1.1288065837958985,0.033574912,0.9993900207392948
npu:0,ephemeral,1,2048,8192,16,float16,0.0479724258184433,0.00683059058218443,0.000348192,0.9410899733480379
npu:0,ephemeral,1,2048,8192,32,float16,0.03479719161987305,0.01883370379883522,0.000675904,0.9696051510273649
npu:0,ephemeral,1,2048,8192,64,float16,0.03327038139104843,0.0393960016446537,0.001331328,0.9845207191616191
npu:0,ephemeral,1,2048,8192,128,float16,0.03494545817375183,0.07501518471916935,0.002642176,0.9921519232632496
npu:0,dense,8,2048,8192,0,float16,0.043917447328567505,6.112273648140465,0.033718272,7.961127308066083
npu:0,ephemeral,8,2048,8192,16,float16,0.03524944186210632,0.07436826972338778,0.000491776,5.3305570015616865
npu:0,ephemeral,8,2048,8192,32,float16,0.03505982458591461,0.14954096496268102,0.000819712,6.396002498438476
npu:0,ephemeral,8,2048,8192,64,float16,0.04026833921670914,0.26039713094621464,0.001475584,7.10617626648161
npu:0,ephemeral,8,2048,8192,128,float16,0.03584027290344238,0.5851384016103776,0.002787328,7.523879500367377
npu:0,dense,32,2048,8192,0,float16,0.028536096215248108,37.62749522221795,0.034209792,31.386973180076627
npu:0,ephemeral,32,2048,8192,16,float16,0.03516972064971924,0.2981473780936531,0.000984064,10.655567117585848
npu:0,ephemeral,32,2048,8192,32,float16,0.03596991300582886,0.5830294890232736,0.001312768,15.975039001560063
npu:0,ephemeral,32,2048,8192,64,float16,0.036583468317985535,1.1465025578064052,0.001970176,21.28898128898129
npu:0,ephemeral,32,2048,8192,128,float16,0.03617890179157257,2.318646389082496,0.003284992,25.536159600997507
npu:0,dense,1,4096,16384,0,float16,0.09133853018283844,1.4694535562519717,0.134258688,0.9996949173225944
npu:0,ephemeral,1,4096,16384,16,float16,0.03638286143541336,0.01801287678165147,0.000696352,0.9411332199806994
npu:0,ephemeral,1,4096,16384,32,float16,0.037969090044498444,0.0345207114119375,0.001351744,0.9696510581885327
npu:0,ephemeral,1,4096,16384,64,float16,0.03702081739902496,0.07080988979106231,0.002662528,0.9845680496129994
npu:0,ephemeral,1,4096,16384,128,float16,0.03652181476354599,0.14355475033056533,0.005284096,0.992199990310547
npu:0,dense,8,4096,16384,0,float16,0.08097738027572632,13.259774770978403,0.134545408,7.980516317584024
npu:0,ephemeral,8,4096,16384,16,float16,0.03561452031135559,0.14721186623222107,0.000983296,5.331944806040093
npu:0,ephemeral,8,4096,16384,32,float16,0.035440362989902496,0.2958705587464653,0.001638912,6.398000624804749
npu:0,ephemeral,8,4096,16384,64,float16,0.03590621054172516,0.5840638620338351,0.002950144,7.1086428323498785
npu:0,ephemeral,8,4096,16384,128,float16,0.035719387233257294,1.1742373889591264,0.005572608,7.526644615950018
npu:0,dense,32,4096,16384,0,float16,0.08453354239463806,50.807847090440035,0.135528448,31.690522243713733
npu:0,ephemeral,32,4096,16384,16,float16,0.03580562770366669,0.5857045762069522,0.001967104,10.661114003123373
npu:0,ephemeral,32,4096,16384,32,float16,0.03587938845157623,1.1690009727063058,0.002623488,15.987509758001561
npu:0,ephemeral,32,4096,16384,64,float16,0.05476493388414383,1.5317480374843957,0.003936256,21.311134235171696
npu:0,ephemeral,32,4096,16384,128,float16,0.0368388369679451,4.554219780227727,0.006561792,25.56803995006242
