trial,scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,avg_ms
0,ffn,dynamic_ephemeral,1,4096,16384,64,8,float16,0.6000220775604248
0,swiglu,static_ephemeral,1,4096,16384,64,0,float16,0.46029575169086456
0,swiglu,dynamic_ephemeral,1,4096,16384,64,8,float16,0.7455645129084587
0,moe_top2,static_ephemeral,1,4096,16384,64,0,float16,0.4617542028427124
0,moe_top2,dynamic_ephemeral,1,4096,16384,64,8,float16,1.2395774945616722
0,ffn,dense,8,4096,16384,0,0,float16,0.345064140856266
0,swiglu,dense,8,4096,16384,0,0,float16,0.5321605131030083
0,moe_top2,dense,8,4096,16384,0,0,float16,0.9224200621247292
0,ffn,static_ephemeral,8,4096,16384,16,0,float16,0.08718837052583694
0,ffn,dynamic_ephemeral,8,4096,16384,16,8,float16,0.426521897315979
0,swiglu,static_ephemeral,8,4096,16384,16,0,float16,0.12751761823892593
0,swiglu,dynamic_ephemeral,8,4096,16384,16,8,float16,0.6011756137013435
0,moe_top2,static_ephemeral,8,4096,16384,16,0,float16,0.4473581910133362
0,moe_top2,dynamic_ephemeral,8,4096,16384,16,8,float16,0.9712550789117813
0,ffn,static_ephemeral,8,4096,16384,32,0,float16,0.09516142308712006
0,ffn,dynamic_ephemeral,8,4096,16384,32,8,float16,0.5919774994254112
0,swiglu,static_ephemeral,8,4096,16384,32,0,float16,0.15345700085163116
0,swiglu,dynamic_ephemeral,8,4096,16384,32,8,float16,0.6181074306368828
0,moe_top2,static_ephemeral,8,4096,16384,32,0,float16,0.3263629972934723
0,moe_top2,dynamic_ephemeral,8,4096,16384,32,8,float16,0.986156240105629
0,ffn,static_ephemeral,8,4096,16384,64,0,float16,0.08750408887863159
0,ffn,dynamic_ephemeral,8,4096,16384,64,8,float16,0.47837942838668823
0,swiglu,static_ephemeral,8,4096,16384,64,0,float16,0.14299284666776657
0,swiglu,dynamic_ephemeral,8,4096,16384,64,8,float16,0.7735872641205788
0,moe_top2,static_ephemeral,8,4096,16384,64,0,float16,0.32595768570899963
0,moe_top2,dynamic_ephemeral,8,4096,16384,64,8,float16,1.239144615828991
0,ffn,dense,32,4096,16384,0,0,float16,0.3069516271352768
0,swiglu,dense,32,4096,16384,0,0,float16,0.4930846393108368
0,moe_top2,dense,32,4096,16384,0,0,float16,0.7454374805092812
0,ffn,static_ephemeral,32,4096,16384,16,0,float16,0.08934438228607178
0,ffn,dynamic_ephemeral,32,4096,16384,16,8,float16,0.41681602597236633
0,swiglu,static_ephemeral,32,4096,16384,16,0,float16,0.13015959411859512
0,swiglu,dynamic_ephemeral,32,4096,16384,16,8,float16,0.6512708961963654
0,moe_top2,static_ephemeral,32,4096,16384,16,0,float16,0.300394743680954
0,moe_top2,dynamic_ephemeral,32,4096,16384,16,8,float16,0.9354362264275551
0,ffn,static_ephemeral,32,4096,16384,32,0,float16,0.19888710230588913
0,ffn,dynamic_ephemeral,32,4096,16384,32,8,float16,0.4684118553996086
0,swiglu,static_ephemeral,32,4096,16384,32,0,float16,0.12840032577514648
0,swiglu,dynamic_ephemeral,32,4096,16384,32,8,float16,0.8765986189246178
0,moe_top2,static_ephemeral,32,4096,16384,32,0,float16,0.32786130905151367
0,moe_top2,dynamic_ephemeral,32,4096,16384,32,8,float16,0.9480101987719536
0,ffn,static_ephemeral,32,4096,16384,64,0,float16,0.33859163522720337
0,ffn,dynamic_ephemeral,32,4096,16384,64,8,float16,0.5495775490999222
0,swiglu,static_ephemeral,32,4096,16384,64,0,float16,0.14930330216884613
0,swiglu,dynamic_ephemeral,32,4096,16384,64,8,float16,0.7963147014379501
0,moe_top2,static_ephemeral,32,4096,16384,64,0,float16,0.3065774217247963
0,moe_top2,dynamic_ephemeral,32,4096,16384,64,8,float16,1.142692007124424
0,ffn,dense,1,8192,32768,0,0,float16,1.4636335894465446
0,swiglu,dense,1,8192,32768,0,0,float16,2.1285373717546463
0,moe_top2,dense,1,8192,32768,0,0,float16,3.241158276796341
0,ffn,static_ephemeral,1,8192,32768,16,0,float16,0.11402107775211334
0,ffn,dynamic_ephemeral,1,8192,32768,16,8,float16,0.3920268267393112
0,swiglu,static_ephemeral,1,8192,32768,16,0,float16,0.2307439222931862
0,swiglu,dynamic_ephemeral,1,8192,32768,16,8,float16,0.5781721323728561
0,moe_top2,static_ephemeral,1,8192,32768,16,0,float16,0.3950875252485275
0,moe_top2,dynamic_ephemeral,1,8192,32768,16,8,float16,0.9957302361726761
0,ffn,static_ephemeral,1,8192,32768,32,0,float16,0.10984968394041061
0,ffn,dynamic_ephemeral,1,8192,32768,32,8,float16,0.4542415961623192
0,swiglu,static_ephemeral,1,8192,32768,32,0,float16,0.2168763428926468
0,swiglu,dynamic_ephemeral,1,8192,32768,32,8,float16,0.6185563281178474
0,moe_top2,static_ephemeral,1,8192,32768,32,0,float16,0.5371300503611565
0,moe_top2,dynamic_ephemeral,1,8192,32768,32,8,float16,1.2154888361692429
0,ffn,static_ephemeral,1,8192,32768,64,0,float16,0.09564831852912903
0,ffn,dynamic_ephemeral,1,8192,32768,64,8,float16,0.718093104660511
0,swiglu,static_ephemeral,1,8192,32768,64,0,float16,0.1813456416130066
0,swiglu,dynamic_ephemeral,1,8192,32768,64,8,float16,1.107862964272499
0,moe_top2,static_ephemeral,1,8192,32768,64,0,float16,0.4355126991868019
0,moe_top2,dynamic_ephemeral,1,8192,32768,64,8,float16,1.7871001735329628
0,ffn,dense,8,8192,32768,0,0,float16,1.550879329442978
0,swiglu,dense,8,8192,32768,0,0,float16,2.065981924533844
0,moe_top2,dense,8,8192,32768,0,0,float16,3.066061995923519
0,ffn,static_ephemeral,8,8192,32768,16,0,float16,0.1017371192574501
0,ffn,dynamic_ephemeral,8,8192,32768,16,8,float16,0.4472706466913223
0,swiglu,static_ephemeral,8,8192,32768,16,0,float16,0.26168450713157654
0,swiglu,dynamic_ephemeral,8,8192,32768,16,8,float16,0.7944110780954361
0,moe_top2,static_ephemeral,8,8192,32768,16,0,float16,0.6334580481052399
0,moe_top2,dynamic_ephemeral,8,8192,32768,16,8,float16,0.7616128772497177
0,ffn,static_ephemeral,8,8192,32768,32,0,float16,0.08447933942079544
0,ffn,dynamic_ephemeral,8,8192,32768,32,8,float16,0.43795257806777954
