hidden_dim,batch_tokens,best_rank,dense_mean_ms,best_ephemeral_mean_ms,speedup_dense_over_ephemeral
2048,1,64,0.0299315154552459,0.0325943902134895,0.9183026667840056
2048,8,32,0.0308961421251297,0.0323305279016494,0.9556337038206382
2048,32,16,0.0286774709820747,0.0317738577723503,0.9025492336353919
4096,1,16,0.0765258446335792,0.0323748588562011,2.3637429578761355
4096,8,32,0.0819383561611175,0.0319360569119453,2.5657004678767787
4096,32,16,0.0813433527946472,0.0326135754585266,2.494156241718678
