trial,device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,avg_ms,tflops,bytes_gb,arithmetic_intensity
0,npu:0,dense,1,1024,4096,0,float16,0.026603415608406067,0.31532071383154997,0.008398848,0.9987807851743478
0,npu:0,ephemeral,1,1024,4096,16,float16,0.032765232026576996,0.005000422394906398,0.000174112,0.9410034920051461
0,npu:0,ephemeral,1,1024,4096,32,float16,0.031229667365550995,0.010492586941910858,0.000337984,0.9695133497443666
0,npu:0,ephemeral,1,1024,4096,64,float16,0.03452468663454056,0.018982359114140045,0.000665728,0.9844260719092482
0,npu:0,ephemeral,1,1024,4096,128,float16,0.0325692817568779,0.04024405603366447,0.001321216,0.9920558031389266
0,npu:0,dense,8,1024,4096,0,float16,0.02147182822227478,3.1254378204451894,0.008470528,7.922630560928433
0,npu:0,ephemeral,8,1024,4096,16,float16,0.034612417221069336,0.03786849071038402,0.000246016,5.327783558792924
0,npu:0,ephemeral,8,1024,4096,32,float16,0.032168254256248474,0.08149152201788515,0.000410112,6.392009987515605
0,npu:0,ephemeral,8,1024,4096,64,float16,0.034798868000507355,0.15066237211864364,0.000738304,7.10124826629681
0,npu:0,ephemeral,8,1024,4096,128,float16,0.03382749855518341,0.3099773985030076,0.001394688,7.518355359765051
0,npu:0,dense,32,1024,4096,0,float16,0.01986827701330185,13.510756660996922,0.008716288,30.796992481203006
0,npu:0,ephemeral,32,1024,4096,16,float16,0.03327876329421997,0.15754431598456095,0.000492544,10.644490644490645
0,npu:0,ephemeral,32,1024,4096,32,float16,0.033185817301273346,0.3159711241946016,0.000657408,15.950155763239875
0,npu:0,ephemeral,32,1024,4096,64,float16,0.03211274743080139,0.653059039722178,0.000987136,21.244813278008298
0,npu:0,ephemeral,32,1024,4096,128,float16,0.034048035740852356,1.2318784061212336,0.001646592,25.4726368159204
0,npu:0,dense,1,2048,8192,0,float16,0.025803782045841217,1.3003687575871443,0.033574912,0.9993900207392948
0,npu:0,ephemeral,1,2048,8192,16,float16,0.034870393574237823,0.009397083497276306,0.000348192,0.9410899733480379
0,npu:0,ephemeral,1,2048,8192,32,float16,0.03479979932308197,0.018832292505931596,0.000675904,0.9696051510273649
0,npu:0,ephemeral,1,2048,8192,64,float16,0.03681536763906479,0.03560252373004134,0.001331328,0.9845207191616191
0,npu:0,ephemeral,1,2048,8192,128,float16,0.03396347165107727,0.07718410022777669,0.002642176,0.9921519232632496
0,npu:0,dense,8,2048,8192,0,float16,0.029210373759269714,9.189730272274035,0.033718272,7.961127308066083
0,npu:0,ephemeral,8,2048,8192,16,float16,0.0339193269610405,0.07728455234418324,0.000491776,5.3305570015616865
0,npu:0,ephemeral,8,2048,8192,32,float16,0.03492385149002075,0.15012319020707432,0.000819712,6.396002498438476
0,npu:0,ephemeral,8,2048,8192,64,float16,0.03420785069465637,0.30653080468566196,0.001475584,7.10617626648161
0,npu:0,ephemeral,8,2048,8192,128,float16,0.03309212625026703,0.633731415183114,0.002787328,7.523879500367377
0,npu:0,dense,32,2048,8192,0,float16,0.02704523503780365,39.7017005952853,0.034209792,31.386973180076627
0,npu:0,ephemeral,32,2048,8192,16,float16,0.032919831573963165,0.3185241083764645,0.000984064,10.655567117585848
0,npu:0,ephemeral,32,2048,8192,32,float16,0.033656321465969086,0.6231079062281044,0.001312768,15.975039001560063
0,npu:0,ephemeral,32,2048,8192,64,float16,0.03263428807258606,1.285244522776448,0.001970176,21.28898128898129
0,npu:0,ephemeral,32,2048,8192,128,float16,0.03315247595310211,2.530311163445718,0.003284992,25.536159600997507
0,npu:0,dense,1,4096,16384,0,float16,0.08451640605926514,1.588067148831234,0.134258688,0.9996949173225944
0,npu:0,ephemeral,1,4096,16384,16,float16,0.03407355397939682,0.01923368488054622,0.000696352,0.9411332199806994
0,npu:0,ephemeral,1,4096,16384,32,float16,0.033685751259326935,0.03891022022663326,0.001351744,0.9696510581885327
