scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms
ffn,dense,1,2048,8192,0,0,float16,3,0.13359046230713525,0.05548270466454297,0.0996910035610199,0.19761938601732254,0.06278459076794708
ffn,dense,1,4096,16384,0,0,float16,3,0.29579848051071167,0.007859755559866856,0.2897588536143303,0.30468497425317764,0.008894150696977422
ffn,dense,1,8192,32768,0,0,float16,3,1.4702629918853443,0.010353328850559045,1.4636335894465446,1.4821933582425117,0.011715894509802809
ffn,dense,8,2048,8192,0,0,float16,3,0.06568736086289088,0.012096405854764295,0.05174260586500168,0.07335320115089417,0.013688371825891258
ffn,dense,8,4096,16384,0,0,float16,3,0.31646912296613056,0.025613523769602707,0.29562972486019135,0.345064140856266,0.028984430692819002
ffn,dense,8,8192,32768,0,0,float16,3,1.4812721560398738,0.07726126428031348,1.3981422409415245,1.550879329442978,0.08742935099113282
ffn,dense,32,2048,8192,0,0,float16,3,0.07729058464368184,0.002245444193447178,0.07518567144870758,0.07965415716171265,0.0025409593066925405
ffn,dense,32,4096,16384,0,0,float16,3,0.31335558742284775,0.007996074579891845,0.3069516271352768,0.3223177045583725,0.009048410189875325
ffn,dense,32,8192,32768,0,0,float16,3,1.6660662988821666,0.11914537290205524,1.5493353828787804,1.7874876037240028,0.13482568171069187
ffn,dynamic_ephemeral,1,2048,8192,16,8,float16,3,0.43543210874001187,0.15502863107829765,0.29040221124887466,0.5988240242004395,0.1754314108949025
ffn,dynamic_ephemeral,1,2048,8192,32,8,float16,3,0.35732009758551914,0.0769163777457816,0.3041917458176613,0.44552162289619446,0.08703907513737118
ffn,dynamic_ephemeral,1,2048,8192,64,8,float16,3,0.3861585631966591,0.10371190590177576,0.30460674315690994,0.5028827115893364,0.11736106970949638
ffn,dynamic_ephemeral,1,4096,16384,16,8,float16,3,0.5405296261111895,0.10203024405626797,0.4245297983288765,0.6163677200675011,0.11545809018788428
ffn,dynamic_ephemeral,1,4096,16384,32,8,float16,3,0.4650106653571129,0.09472431953622606,0.40403734892606735,0.5741382017731667,0.10719065831076673
ffn,dynamic_ephemeral,1,4096,16384,64,8,float16,3,0.5312874292333921,0.05965822525473884,0.49294959753751755,0.6000220775604248,0.06750963712398966
ffn,dynamic_ephemeral,1,8192,32768,16,8,float16,3,0.40275678038597107,0.0822384986624578,0.3264099359512329,0.48983357846736914,0.09306162190742057
ffn,dynamic_ephemeral,1,8192,32768,32,8,float16,3,0.4578021044532458,0.06650853080817531,0.3931453451514244,0.5260193720459938,0.07526148760439282
ffn,dynamic_ephemeral,1,8192,32768,64,8,float16,3,0.7493464276194572,0.0359833677379584,0.718093104660511,0.7886843755841255,0.040719013817724775
ffn,dynamic_ephemeral,8,2048,8192,16,8,float16,3,0.44167277713616687,0.10867711069895224,0.3543388098478317,0.5633801221847534,0.12297972786891004
ffn,dynamic_ephemeral,8,2048,8192,32,8,float16,3,0.3439304729302724,0.04727858239201678,0.30048713088035583,0.39428379386663437,0.05350075245103219
ffn,dynamic_ephemeral,8,2048,8192,64,8,float16,3,0.3884646420677503,0.04225772366185017,0.3590574488043785,0.43688956648111343,0.04781911593775963
ffn,dynamic_ephemeral,8,4096,16384,16,8,float16,3,0.46376467992862064,0.06266383644749166,0.426521897315979,0.5361121147871017,0.07091080636917142
ffn,dynamic_ephemeral,8,4096,16384,32,8,float16,3,0.48794690519571304,0.09626304590970687,0.4020228981971741,0.5919774994254112,0.10893189111920583
