batch_tokens,hidden_dim,expansion_dim,rank,dense_ms_sim,eph_ms_sim,dense_ms_meas,eph_ms_meas,dense_error_ratio,eph_error_ratio,measured_speedup_dense_over_eph,simulated_speedup_dense_over_eph
1,1024,4096,16,0.00524288,0.0001024,0.0233696773648262,0.0338448211550712,4.457412217107048,330.51583159249225,0.6904949285372294,51.2
1,1024,4096,32,0.00524288,0.0002048,0.0233696773648262,0.034019723534584,4.457412217107048,166.11193132121093,0.6869449524205832,25.6
1,1024,4096,64,0.00524288,0.0004096,0.0233696773648262,0.0353923067450523,4.457412217107048,86.40699888928785,0.6603038771439553,12.8
1,1024,4096,128,0.00524288,0.0008192,0.0233696773648262,0.0369643792510032,4.457412217107048,45.122533265384774,0.6322215559508402,6.4
8,1024,4096,16,0.00524288,0.0001024,0.0210955739021301,0.0366223976016044,4.02366140406229,357.640601578168,0.5760292958319561,51.2
8,1024,4096,32,0.00524288,0.0002048,0.0210955739021301,0.0364894047379493,4.02366140406229,178.17092157201807,0.5781287487047032,25.6
8,1024,4096,64,0.00524288,0.0004096,0.0210955739021301,0.0358818098902702,4.02366140406229,87.60207492741748,0.5879183342936787,12.8
8,1024,4096,128,0.00524288,0.0008192,0.0210955739021301,0.0398064032196998,4.02366140406229,48.59180080529761,0.5299542836286728,6.4
32,1024,4096,16,0.00524288,0.0001024,0.0187203288078308,0.0351553782820701,3.5706193557416532,343.31424103584084,0.532502556440376,51.2
32,1024,4096,32,0.00524288,0.0002048,0.0187203288078308,0.0349283218383789,3.5706193557416532,170.54844647645947,0.5359641638225254,25.6
32,1024,4096,64,0.00524288,0.0004096,0.0187203288078308,0.0332819297909736,3.5706193557416532,81.25471140374415,0.5624772639508405,12.8
32,1024,4096,128,0.00524288,0.0008192,0.0187203288078308,0.0343088060617446,3.5706193557416532,41.88086677459058,0.5456420947479299,6.4
1,2048,8192,16,0.02097152,0.0002048,0.0297255814075469,0.0479724258184433,1.4174261764310312,234.24036044161767,0.6196389050669753,102.4
1,2048,8192,32,0.02097152,0.0004096,0.0297255814075469,0.034797191619873,1.4174261764310312,84.95408110320557,0.854252312435764,51.2
1,2048,8192,64,0.02097152,0.0008192,0.0297255814075469,0.0332703813910484,1.4174261764310312,40.613258533994625,0.8934547836456348,25.6
1,2048,8192,128,0.02097152,0.0016384,0.0297255814075469,0.0349454581737518,1.4174261764310312,21.329014998627812,0.8506278916060785,12.8
8,2048,8192,16,0.02097152,0.0002048,0.0439174473285675,0.0352494418621063,2.094147077968955,172.11641534231595,1.245904757878718,102.4
8,2048,8192,32,0.02097152,0.0004096,0.0439174473285675,0.0350598245859146,2.094147077968955,85.59527486795557,1.252643099253026,51.2
8,2048,8192,64,0.02097152,0.0008192,0.0439174473285675,0.0402683392167091,2.094147077968955,49.15568752039685,1.0906197817650305,25.6
8,2048,8192,128,0.02097152,0.0016384,0.0439174473285675,0.0358402729034423,2.094147077968955,21.87516656704242,1.2253658739397997,12.8
32,2048,8192,16,0.02097152,0.0002048,0.0285360962152481,0.0351697206497192,1.3607071025489854,171.72715160995702,0.8113825099567841,102.4
32,2048,8192,32,0.02097152,0.0004096,0.0285360962152481,0.0359699130058288,1.3607071025489854,87.81717042438673,0.7933323667094754,51.2
32,2048,8192,64,0.02097152,0.0008192,0.0285360962152481,0.0365834683179855,1.3607071025489854,44.65755409910339,0.7800270867488779,25.6
32,2048,8192,128,0.02097152,0.0016384,0.0285360962152481,0.0361789017915725,1.3607071025489854,22.081849238020325,0.7887496524810294,12.8
1,4096,16384,16,0.08388608,0.0004096,0.0913385301828384,0.0363828614354133,1.0888401291708756,88.82534530130201,2.510482314454078,204.8
1,4096,16384,32,0.08388608,0.0008192,0.0913385301828384,0.0379690900444984,1.0888401291708756,46.34898687072559,2.4056022958620535,102.4
1,4096,16384,64,0.08388608,0.0016384,0.0913385301828384,0.0370208173990249,1.0888401291708756,22.595713744522037,2.467220785493628,51.2
1,4096,16384,128,0.08388608,0.0032768,0.0913385301828384,0.0365218147635459,1.0888401291708756,11.145573353132905,2.5009307662884153,25.6
8,4096,16384,16,0.08388608,0.0004096,0.0809773802757263,0.0356145203113555,0.9653255972352779,86.94951247889527,2.2737181230518244,204.8
8,4096,16384,32,0.08388608,0.0008192,0.0809773802757263,0.0354403629899024,0.9653255972352779,43.26216185290821,2.284891390610142,102.4
8,4096,16384,64,0.08388608,0.0016384,0.0809773802757263,0.0359062105417251,0.9653255972352779,21.91541170759589,2.255247185765423,51.2
8,4096,16384,128,0.08388608,0.0032768,0.0809773802757263,0.0357193872332572,0.9653255972352779,10.900691904680542,2.2670428175859305,25.6
32,4096,16384,16,0.08388608,0.0004096,0.084533542394638,0.0358056277036666,1.0077183532075644,87.41608326090478,2.3609010040056226,204.8
32,4096,16384,32,0.08388608,0.0008192,0.084533542394638,0.0358793884515762,1.0077183532075644,43.798081605927976,2.3560474702272804,102.4
32,4096,16384,64,0.08388608,0.0016384,0.084533542394638,0.0547649338841438,1.0077183532075644,33.425862966396366,1.5435706098626947,51.2
32,4096,16384,128,0.08388608,0.0032768,0.084533542394638,0.0368388369679451,1.0077183532075644,11.242320852034027,2.294685428538201,25.6
