batch_tokens,hidden_dim,expansion_dim,rank,dense_ms_sim,eph_ms_sim,dense_ms_meas,eph_ms_meas,dense_error_ratio,eph_error_ratio,measured_speedup_dense_over_eph,simulated_speedup_dense_over_eph
1,1024,4096,16,0.00524288,0.0001024,0.0220188871026039,0.033244639635086,4.1997694211204335,324.65468393638673,0.6623289451862617,51.2
1,1024,4096,32,0.00524288,0.0002048,0.0220188871026039,0.0352949276566505,4.1997694211204335,172.33851394848878,0.6238541502848202,25.6
1,1024,4096,64,0.00524288,0.0004096,0.0220188871026039,0.033668614923954,4.1997694211204335,82.19876690418458,0.6539885039030298,12.8
1,1024,4096,128,0.00524288,0.0008192,0.0220188871026039,0.0328418239951133,4.1997694211204335,40.090117181534794,0.6704526248566522,6.4
1,2048,8192,16,0.02097152,0.0002048,0.0286052376031875,0.0333822146058082,1.3640040208429096,162.99909475492288,0.8569005364374611,102.4
1,2048,8192,32,0.02097152,0.0004096,0.0286052376031875,0.0333501398563385,1.3640040208429096,81.42123988363892,0.8577246670151762,51.2
1,2048,8192,64,0.02097152,0.0008192,0.0286052376031875,0.0335220247507095,1.3640040208429096,40.92044036951843,0.8533266655553694,25.6
1,2048,8192,128,0.02097152,0.0016384,0.0286052376031875,0.0338164716958999,1.3640040208429096,20.639936337829532,0.8458965755039358,12.8
1,4096,16384,16,0.08388608,0.0004096,0.0838091969490051,0.0361145287752151,0.9990834826112401,88.170236267615,2.3206504360240245,204.8
1,4096,16384,32,0.08388608,0.0008192,0.0838091969490051,0.0327297672629356,0.9990834826112401,39.95332917838818,2.5606413964303907,102.4
1,4096,16384,64,0.08388608,0.0016384,0.0838091969490051,0.0357246771454811,0.9990834826112401,21.80461251555243,2.3459749295342847,51.2
1,4096,16384,128,0.08388608,0.0032768,0.0838091969490051,0.0362444669008255,0.9990834826112401,11.060933502449188,2.3123307946100944,25.6
8,1024,4096,16,0.00524288,0.0001024,0.0199401751160621,0.0331706926226615,3.803286574566288,323.93254514317874,0.6011383404891402,51.2
8,1024,4096,32,0.00524288,0.0002048,0.0199401751160621,0.0331892445683479,3.803286574566288,162.05685824388624,0.6008023194079792,25.6
8,1024,4096,64,0.00524288,0.0004096,0.0199401751160621,0.0327548757195472,3.803286574566288,79.96795829967579,0.6087696771251174,12.8
8,1024,4096,128,0.00524288,0.0008192,0.0199401751160621,0.0339007750153541,3.803286574566288,41.38278200116468,0.5881923084953348,6.4
8,2048,8192,16,0.02097152,0.0002048,0.0330544635653495,0.0333470851182937,1.576159647242999,162.82756405416848,0.9912249735799645,102.4
8,2048,8192,32,0.02097152,0.0004096,0.0330544635653495,0.0331406667828559,1.576159647242999,80.90983101283179,0.997398868946385,51.2
8,2048,8192,64,0.02097152,0.0008192,0.0330544635653495,0.0332619249820709,1.576159647242999,40.60293576912952,0.9937627958444009,25.6
8,2048,8192,128,0.02097152,0.0016384,0.0330544635653495,0.0328938663005828,1.576159647242999,20.07682269322681,1.004882286055983,12.8
8,4096,16384,16,0.08388608,0.0004096,0.0762713700532913,0.041513592004776,0.9092255837117589,101.35154298041016,1.8372626017164821,204.8
8,4096,16384,32,0.08388608,0.0008192,0.0762713700532913,0.0364721938967704,0.9092255837117589,44.52172106539356,2.091219691065667,102.4
8,4096,16384,64,0.08388608,0.0016384,0.0762713700532913,0.0337397307157516,0.9092255837117589,20.593097360688233,2.260580284290282,51.2
8,4096,16384,128,0.08388608,0.0032768,0.0762713700532913,0.0357592478394508,0.9092255837117589,10.912856396316773,2.132913152864087,25.6
32,1024,4096,16,0.00524288,0.0001024,0.0205444544553756,0.0326545163989067,3.9185437117339323,318.89176170807326,0.6291458799880878,51.2
32,1024,4096,32,0.00524288,0.0002048,0.0205444544553756,0.032493956387043,3.9185437117339323,158.6618964211084,0.6322546325435373,25.6
32,1024,4096,64,0.00524288,0.0004096,0.0205444544553756,0.0324629247188568,3.9185437117339323,79.25518730189648,0.6328590117279822,12.8
32,1024,4096,128,0.00524288,0.0008192,0.0205444544553756,0.033390037715435,3.9185437117339323,40.759323383099364,0.6152869496723762,6.4
32,2048,8192,16,0.02097152,0.0002048,0.0276931375265121,0.032469592988491,1.3205116999870348,158.54293451411624,0.8528945076807111,102.4
32,2048,8192,32,0.02097152,0.0004096,0.0276931375265121,0.0322051346302032,1.3205116999870348,78.62581696826953,0.8598982070561016,51.2
32,2048,8192,64,0.02097152,0.0008192,0.0276931375265121,0.0325724855065345,1.3205116999870348,39.76133484684387,0.8502003177177396,25.6
32,2048,8192,128,0.02097152,0.0016384,0.0276931375265121,0.0331511721014976,1.3205116999870348,20.23386969085547,0.8353592277740631,12.8
32,4096,16384,16,0.08388608,0.0004096,0.0770376995205879,0.03279909491539,0.9183609428475844,80.07591532077637,2.3487751634402643,204.8
32,4096,16384,32,0.08388608,0.0008192,0.0770376995205879,0.0329639762639999,0.9183609428475844,40.2392288378905,2.3370269079073784,102.4
32,4096,16384,64,0.08388608,0.0016384,0.0770376995205879,0.0338302552700042,0.9183609428475844,20.648349163820924,2.2771835123837754,51.2
32,4096,16384,128,0.08388608,0.0032768,0.0770376995205879,0.0379465520381927,0.9183609428475844,11.580368663999238,2.0301633582690326,25.6
