device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms,tflops,bytes_gb,arithmetic_intensity
npu:0,dense,1,1024,4096,0,float16,5,0.022018887102603912,0.002878641127747787,0.019332580268383026,0.026603415608406067,0.0025232401998325177,0.38097329628471455,0.008398848,0.9987807851743478
npu:0,dense,1,2048,8192,0,float16,5,0.02860523760318756,0.0028488734406913263,0.025803782045841217,0.032218918204307556,0.002497147671690372,1.1730170700019265,0.033574912,0.9993900207392948
npu:0,dense,1,4096,16384,0,float16,5,0.08380919694900513,0.010662342633882346,0.06986986845731735,0.09975545108318329,0.009345955388071989,1.6014677730615487,0.134258688,0.9996949173225944
npu:0,dense,8,1024,4096,0,float16,5,0.019940175116062164,0.0012279694292844253,0.01840386539697647,0.02147182822227478,0.0010763626623232654,3.36551026304391,0.008470528,7.922630560928433
npu:0,dense,8,2048,8192,0,float16,5,0.03305446356534958,0.006599342019923226,0.029210373759269714,0.04477091133594513,0.005784578326421088,8.121004761408267,0.033718272,7.961127308066083
npu:0,dense,8,4096,16384,0,float16,5,0.07627137005329132,0.004554974541517437,0.07134322077035904,0.0835685059428215,0.003992611222560659,14.077914468427268,0.134545408,7.980516317584024
npu:0,dense,32,1024,4096,0,float16,5,0.02054445445537567,0.0019068482150232159,0.019102543592453003,0.023887306451797485,0.00167142615477389,13.066078565535289,0.008716288,30.796992481203006
npu:0,dense,32,2048,8192,0,float16,5,0.027693137526512146,0.0007071041437308571,0.027025118470191956,0.028717145323753357,0.0006198041095611595,38.772848434817064,0.034209792,31.386973180076627
npu:0,dense,32,4096,16384,0,float16,5,0.07703769952058792,0.005924724008936385,0.06791558116674423,0.08453410118818283,0.005193249567707476,55.75149988548389,0.135528448,31.690522243713733
npu:0,ephemeral,1,1024,4096,16,float16,5,0.03324463963508606,0.0014049734525746881,0.031807832419872284,0.03501772880554199,0.0012315135294435151,0.0049283133100075744,0.000174112,0.9410034920051461
npu:0,ephemeral,1,1024,4096,32,float16,5,0.03529492765665054,0.003821901404060425,0.031229667365550995,0.04032943397760391,0.003350044286370152,0.009284053595113577,0.000337984,0.9695133497443666
npu:0,ephemeral,1,1024,4096,64,float16,5,0.03366861492395401,0.0006112987132102151,0.03280378878116608,0.03452468663454056,0.0005358269471001063,0.019465012192519237,0.000665728,0.9844260719092482
npu:0,ephemeral,1,1024,4096,128,float16,5,0.03284182399511337,0.0010823813284507049,0.031600333750247955,0.03412477672100067,0.0009487490653729828,0.0399100853897465,0.001321216,0.9920558031389266
