Step,Entropy
1,0.8965927685113562
2,1.5857589632107514
3,2.074675055060035
4,2.592449922200665
5,2.791464322326098
6,3.0054632981931007
7,3.1160276646490943
8,3.142234184525915
9,3.1723037164817276
10,3.192892449783835
11,3.2229890284537634
12,3.1833061649137244
