N,GroundStateEnergy,Time
2,-1.4142135623730954,0.003567218780517578
3,-2.403211925911553,0.005584001541137695
4,-3.4270340889080773,0.010202884674072266
5,-4.469490344005432,0.018075942993164062
6,-5.52202957080022,0.02439594268798828
7,-6.5799204394298405,0.03391742706298828
8,-7.640592553590083,0.045221805572509766
9,-8.702687767401644,0.05953860282897949
10,-9.76550395792717,0.07679963111877441
